Number,Reading
0,ling
1,yi
2,er
3,san
4,si
5,wu
6,liu
7,qi
8,ba
9,jiu
10,shi
11,shi-yi
12,shi-er
13,shi-san
14,shi-si
15,shi-wu
16,shi-liu
17,shi-qi
18,shi-ba
19,shi-jiu
20,ershi
21,ershi-yi
22,ershi-er
23,ershi-san
24,ershi-si
25,ershi-wu
26,ershi-liu
27,ershi-qi
28,ershi-ba
29,ershi-jiu
30,sanshi
31,sanshi-yi
32,sanshi-er
33,sanshi-san
34,sanshi-si
35,sanshi-wu
36,sanshi-liu
37,sanshi-qi
38,sanshi-ba
39,sanshi-jiu
40,sishi
41,sishi-yi
42,sishi-er
43,sishi-san
44,sishi-si
45,sishi-wu
46,sishi-liu
47,sishi-qi
48,sishi-ba
49,sishi-jiu
50,wushi
51,wushi-yi
52,wushi-er
53,wushi-san
54,wushi-si
55,wushi-wu
56,wushi-liu
57,wushi-qi
58,wushi-ba
59,wushi-jiu
60,liushi
61,liushi-yi
62,liushi-er
63,liushi-san
64,liushi-si
65,liushi-wu
66,liushi-liu
67,liushi-qi
68,liushi-ba
69,liushi-jiu
70,qishi
71,qishi-yi
72,qishi-er
73,qishi-san
74,qishi-si
75,qishi-wu
76,qishi-liu
77,qishi-qi
78,qishi-ba
79,qishi-jiu
80,bashi
81,bashi-yi
82,bashi-er
83,bashi-san
84,bashi-si
85,bashi-wu
86,bashi-liu
87,bashi-qi
88,bashi-ba
89,bashi-jiu
90,jiushi
91,jiushi-yi
92,jiushi-er
93,jiushi-san
94,jiushi-si
95,jiushi-wu
96,jiushi-liu
97,jiushi-qi
98,jiushi-ba
99,jiushi-jiu
100,一百
