stepmother,Tam_ögey_qohumluq
son,Son
mother's brother,not found
nephew,nephew
father,ata
grandmother,Nənə
daughter-in-law,not found
mother's sister,Xala
sister,Sister
grandson,nəvə
brother,qardaş
grandfather,baba
father's sister,Bibi
mother,mother
stepfather,not found
