son,Son
mother's brother,ciu
nephew,nephew
father,babbu
niece,not found
daughter-in-law,nura
mother's sister,not found
sister,Sister
son-in-law,génniru
grandson,nebodi
brother,mongiu
grandfather,donnumannu
father's sister,not found
mother,mother
stepfather,not found
