son,Kur
mother's brother,not found
nephew,nephew
father,Bav
grandmother,داپیر‎_داپیره‌‎
niece,not found
daughter-in-law,not found
mother's sister,not found
sister,Sister
grandson,torin
brother,SAP
grandfather,باپیر
father's sister,پوور‎
mother,mother
stepfather,not found
