stepmother,amaorde
son,Son
mother's brother,not found
father-in-law,aitaginarreba
nephew,iloba
father,aita
grandmother,amona
niece,iloba
daughter-in-law,errain
granddaughter,biloba
mother's sister,not found
sister,ahizpa
daughter,alaba
son-in-law,Suin
grandson,biloba
brother,anaia
grandfather,aitona
father's sister,izeko
mother,ama
stepfather,aitaorde
older brother,anaia nagusia
