stepmother,llysfam
son,plentyn
mother's brother,not found
nephew,nai
father,tad
grandmother,nain
niece,nith
daughter-in-law,merch-yng-nghyfraith
mother's sister,not found
sister,chwaer
son-in-law,mab-yng-nghyfraith
grandson,ŵyr
brother,mynach
grandfather,granddaddy
father's sister,modryb
mother,mam
stepfather,not found
