son,زوی
mother's brother,not found
father-in-law,not found
nephew,nephew
father,پلار
grandmother,انا‎
niece,not found
daughter-in-law,not found
granddaughter,لمسی‎
mother's sister,not found
sister,Sister
daughter,لور
grandson,لمسی‎
brother,SAP
father's sister,ترور
mother,mother
stepfather,The_Stepfather
