stepmother,stiefmoeder
son,Son
mother's brother,oom_/_broer_van_moeder
father-in-law,schoonvader
nephew,oomzegger
father,vader
grandmother,grootmoeder
niece,nicht
daughter-in-law,schoondochter
granddaughter,kleinkind
mother's sister,not found
sister,zuster
daughter,dochter
son-in-law,schoonzoon
grandson,kleinzoon
brother,broeder
grandfather,grootvader
father's sister,tante
mother,Mother
stepfather,stiefvader
