son,Дїтина
mother's brother,not found
nephew,nephew
father,ня́ньо
niece,not found
daughter-in-law,not found
mother's sister,not found
sister,Sister
grandson,вну́чка
brother,SAP
father's sister,тю́̈тка
mother,mother
stepfather,not found
