son,Son
mother's brother,not found
father-in-law,ଶ୍ୱଶୁର
nephew,nephew
father,ବାପା
grandmother,ଆଈ
niece,not found
daughter-in-law,not found
granddaughter,ନାତୁଣୀ
mother's sister,not found
sister,Sister
daughter,Daughter
grandson,ନାତୁଣୀ
brother,SAP
grandfather,ଜେଜେବାପା
father's sister,ମାଉସୀ
mother,mother
stepfather,The_Stepfather
