son,ကလေး
mother's brother,not found
father-in-law,not found
nephew,nephew
father,Father
grandmother,ဘွားဘွား
niece,not found
daughter-in-law,ချွေးမ
granddaughter,မြေး
mother's sister,not found
sister,Sister
daughter,သမီး
son-in-law,သမက်
grandson,မြေး
brother,ဘိက္ခူ
grandfather,အဘိုး
father's sister,ထွေးတော်
mother,mother
stepfather,The_Stepfather
