stepmother,мачеха
older sister,Старшая_сестра_(фильм)
younger sister,младшая_сестра
son,сын
mother's brother,брат_матери
father's brother,дядя
father-in-law,тесть
nephew,племянник
stepdaughter,падчерица
older brother,старший_брат
father,отец
grandmother,бабушка
niece,племянница
daughter-in-law,невестка
granddaughter,внук
mother's sister,вуйна
sister,Sister
daughter,дочь
son-in-law,зять
grandson,внук
brother,брат
grandfather,дед
father's sister,тётя
mother,мать
stepfather,отчим
