son,keikikāne
mother's brother,makua
father-in-law,makuahōnōwai kāne
nephew,nephew
father,makuakāne
grandmother,kupunawahine
niece,not found
daughter-in-law,not found
granddaughter,moʻopuna
mother's sister,not found
sister,kaikuaʻana
daughter,kaikamahine
grandson,moʻopuna
brother,kaikuaʻana
grandfather,kupuna_kāne
father's sister,ʻanakē
mother,makuahine
stepfather,makuahine
