stepmother,njerkë
son,fëmijë
mother's brother,not found
nephew,mbesa
father,Zot
grandmother,gjyshe
niece,mbesë
daughter-in-law,afinitet
mother's sister,not found
sister,Sister
son-in-law,dhëndër
grandson,nip
brother,murg
grandfather,gjysh
father's sister,hallë
mother,mother
stepfather,not found
