son,Son
mother's brother,not found
father-in-law,Sòggiru
nephew,Niputi_(figghiu_dû_frati_o_dâ_soru)
father,patri
niece,Niputi_(figghiu_dû_frati_o_dâ_soru)
daughter-in-law,nora
granddaughter,niputi
mother's sister,not found
sister,Sister
daughter,Daughter
son-in-law,jenniru
grandson,niputi
brother,Frati
grandfather,avu
father's sister,zia
mother,mother
stepfather,The_Stepfather
