stepmother,نامادری
son,کودک
mother's brother,not found
father-in-law,والدین_همسر
nephew,فرزند_هم‌نیا
father,پدر
grandmother,مادر_بزرگ
niece,فرزند_هم‌نیا
daughter-in-law,خویشاوندی_سببی
granddaughter,نوه
mother's sister,not found
sister,خواهر
daughter,دختر
son-in-law,خویشاوندی_سببی
grandson,نوه
brother,برادر
grandfather,پدربزرگ
father's sister,عمه
mother,مادر
stepfather,ناپدری
