stepmother,маќеа
older sister,постара_сестра
son,дете
mother's brother,вујко
father-in-law,свекор
nephew,внук
father,Господ-Отецот
grandmother,баба
niece,внук
daughter-in-law,сна́а
granddaughter,внук
mother's sister,тетка_по_мајка
sister,Sister
daughter,Daughter
son-in-law,зет
grandson,внук
brother,брат
grandfather,дедо
father's sister,тетка
mother,mother
stepfather,очув
