son,மகன்
mother's brother,not found
nephew,உடன்_பிறந்தவரின்_மகள்
father,தந்தை
grandmother,பாட்டி
niece,உடன்_பிறந்தவரின்_மகள்
daughter-in-law,மருமகள்
mother's sister,not found
sister,சகோதரி
son-in-law,மருமகன்
grandson,பேரன்
brother,சகோதரன்
grandfather,தாத்தா
father's sister,அத்தை_பெரியம்மா
mother,தாய்
stepfather,not found
