stepmother,Madrasca
son,Son
mother's brother,not found
father-in-law,suegru
nephew,nephew
father,Padres_de_la_Ilesia
grandmother,güela
niece,not found
daughter-in-law,ñuera
granddaughter,nietu
mother's sister,not found
sister,Sister
daughter,Daughter
son-in-law,xenru
grandson,nietu
brother,SAP
grandfather,El_abuelo_(película_de_1925)
father's sister,tía
mother,mother
stepfather,padrastru
