stepmother,whaea_whakaangi
son,Son
mother's brother,not found
father-in-law,hungawai
nephew,nephew
father,tāne
grandmother,kuia
niece,not found
daughter-in-law,hunaonga
granddaughter,mokopuna
mother's sister,not found
sister,Sister
daughter,tamahine
son-in-law,hunaonga
grandson,mokopuna
brother,parata
father's sister,whaea_kēkē
mother,whaea
stepfather,matua_whakaangi
