son,Sunu
mother's brother,not found
father-in-law,swēor
nephew,nephew
father,fæder
grandmother,ealdemoder
niece,not found
daughter-in-law,snoru
granddaughter,sunsunu
mother's sister,not found
sister,Sister
daughter,dohtor
son-in-law,āþum
grandson,sunsunu
brother,SAP
grandfather,ealdfæder
father's sister,faðu
mother,mother
stepfather,The_Stepfather
