stepmother,мачуха
son,дитина
mother's brother,not found
father-in-law,свекор
nephew,Небіж
father,батько
grandmother,бабуся
niece,племінниця
daughter-in-law,неві́стка
granddaughter,Онук
mother's sister,not found
sister,Sister
daughter,дочка
son-in-law,зять
grandson,онук
brother,брат
grandfather,Дід
father's sister,тітка
mother,Хрєнников_Тихон_Миколайович
stepfather,вітчим
