son,Son
mother's brother,not found
father-in-law,to
nephew,nephew
father,fofo
grandmother,mama
niece,not found
daughter-in-law,lɔ̃xoyɔvi
granddaughter,tɔgbuiyɔviŋutsu
mother's sister,not found
sister,Sister
daughter,vinyɔnu
grandson,tɔgbuiyɔviŋutsu
brother,brother
grandfather,tɔgbui
father's sister,te
mother,mother
stepfather,The_Stepfather
