stepmother,Styffamylje
son,Son
mother's brother,not found
father-in-law,not found
nephew,Omke-_en_muoikesizzer
father,heit
grandmother,beppe
niece,Omke-_en_muoikesizzer
daughter-in-law,not found
granddaughter,Pake-_en_beppesizzer
mother's sister,not found
sister,Sister
daughter,dochter
grandson,Pake-_en_beppesizzer
brother,broer
grandfather,pake
father's sister,muoike
mother,mother
stepfather,The_Stepfather
