son,Son
mother's brother,not found
nephew,姪女婿_侄女婿_姪女婿_侄女婿_孫婿_孙婿
father,Father
grandmother,嫲嫲_婆婆_祖母_外祖母_外婆_阿婆_姐婆_外阿婆_奶奶_祖母_外祖母_外婆_阿媽_阿妈_外媽_外妈_內媽_內妈
niece,姪女婿_侄女婿_姪女婿_侄女婿_孫婿_孙婿
daughter-in-law,新婦_新妇_媳婦_媳妇_心臼_媳婦_媳妇_兒媳_儿媳_兒媳婦_儿媳妇_新婦_新妇_囝新婦_囝新妇
mother's sister,not found
sister,Sister
son-in-law,Kiáⁿ-sài
grandson,息仔_曾孫_曾孙_曾孫_曾孙_重孫_重孙_重孫子_重孙子_乾仔孫_干仔孙_曾孫_曾孙_蝨母仔_虱母仔
brother,弟兄_兄弟_弟兄_兄弟
grandfather,Grandfather_(North_Carolina)
father's sister,not found
mother,mother
stepfather,not found
