son,dźěćo
mother's brother,not found
father's brother,wuj
father-in-law,přichodny_nan
nephew,bratrowc/sotrowc
stepdaughter,not found
older brother,not found
father,nan
grandmother,wowka
niece,bratrowc/sotrowc
daughter-in-law,přichodna_dźowka
mother's sister,not found
sister,Sister
daughter,Daughter
son-in-law,přichodny_syn
brother,bratr
grandfather,dźěd
father's sister,ćeta
mother,mother
stepfather,The_Stepfather
