stepmother,өгөй_эне
son,Балдардын_курак_мезгилдери
mother's brother,not found
nephew,nephew
father,ата
grandmother,ky
niece,not found
daughter-in-law,not found
mother's sister,not found
sister,Sister
grandson,небире
brother,монах
grandfather,тай_ата
father's sister,not found
mother,mother
stepfather,not found
