son,Son
mother's brother,not found
father-in-law,hwegron
nephew,nephew
father,sira
niece,not found
daughter-in-law,gohydh
mother's sister,not found
sister,Sister
daughter,Daughter
son-in-law,deuv
brother,SAP
father's sister,modrep
mother,mother
stepfather,The_Stepfather
