stepmother,stif-fratino
son,Son
mother's brother,fratulo_di_patrino
nephew,nevo
father,patrulo
grandmother,avino
daughter-in-law,bofiliino
mother's sister,fratino_di_matro
sister,Sister
son-in-law,bofiliulo
grandson,nepotulo
brother,monako
grandfather,avulo
father's sister,onklino
mother,mother
stepfather,not found
