stepmother,styvmor
son,son
mother's brother,morbror
nephew,brorson
father,far
grandmother,mormor
niece,brorsdotter
daughter-in-law,svärdotter
mother's sister,not found
sister,syster
son-in-law,måg
grandson,barnbarn
brother,bror
grandfather,farfar
father's sister,tant
mother,mor
stepfather,not found
