stepmother,mostohaanya
older sister,nővér
younger sister,Hugicám
son,gyermek
mother's brother,anyai_nagybáty
father-in-law,após
nephew,unokaöcs
father,apa
grandmother,nagymama
niece,unokahúg
daughter-in-law,meny
granddaughter,unoka
mother's sister,not found
sister,apáca
daughter,gyermek
son-in-law,vej
grandson,unoka
brother,haver
grandfather,nagyapa
father's sister,nagynéni
mother,apáca
stepfather,mostohaapa
