stepmother,noverca
son,Son
mother's brother,not found
nephew,Subrina
father,Deus
grandmother,avia
niece,Subrina
daughter-in-law,nurus
mother's sister,not found
sister,Sister
son-in-law,gener
grandson,Grancio
brother,frater
grandfather,avus
father's sister,Matertera
mother,mother
stepfather,not found
