stepmother,Үги_кыз
son,бала
mother's brother,not found
nephew,nephew
father,ата
grandmother,Әби
niece,not found
daughter-in-law,not found
mother's sister,not found
sister,Sister
grandson,онык
brother,абый
grandfather,бабай
father's sister,Апай
mother,mother
stepfather,not found
