stepmother,մորու
older sister,ավագ_քույր
son,երեխա
mother's brother,not found
father-in-law,աներ
nephew,քրոջ_որդի
father,հայր
grandmother,տատ
niece,եղբոր_աղջիկ
daughter-in-law,հարս
granddaughter,թոռ
mother's sister,not found
sister,քույր
daughter,Daughter
son-in-law,փեսա
grandson,թոռ
brother,եղբայր
grandfather,պապիկ
father's sister,հորաքույր
mother,mother
stepfather,խորթ_հայր
