stepmother,hamá_ájíłʼíní
son,Son
mother's brother,not found
nephew,nephew
father,azhéʼé
grandmother,análí
niece,not found
daughter-in-law,hazháʼáád
mother's sister,not found
sister,Sister
son-in-law,doishʼíinii
grandson,hatsóí_ashkiígíí
brother,ánaaí
father's sister,análí
mother,amá
stepfather,not found
