son,Qıc
mother's brother,not found
nephew,nephew
father,Pi
grandmother,dapir
niece,not found
daughter-in-law,not found
mother's sister,not found
sister,Sister
grandson,pıt
brother,Keşiş
father's sister,ām
mother,mother
stepfather,not found
