son,Son
mother's brother,not found
father-in-law,親家父母
nephew,nephew
father,爹哋
grandmother,祖母
niece,not found
daughter-in-law,襯家
granddaughter,孫女
mother's sister,not found
sister,Sister
daughter,Daughter
son-in-law,女婿
grandson,孫女
brother,僧侶
father's sister,姨姨
mother,mother
stepfather,The_Stepfather
