son,קינד
mother's brother,not found
nephew,nephew
father,טאַטע
grandmother,באָבע
niece,not found
daughter-in-law,שנור
mother's sister,not found
sister,Sister
son-in-law,איידעם
grandson,גראַנדאָטער‎
brother,SAP
grandfather,זיידע
father's sister,מומע
mother,mother
stepfather,not found
