mother,muter
father,foter
son,zun
daughter,toxter
grandmother,bobe
grandfather,zejde
grandson,'ejnikl
granddaughter,'ejnikl
son-in-law (of a man),(a mans) ejdem
son-in-law (of a woman),(a frojs) ejdem
father's brother,(dem) tatns bruder
older brother,'elterer bruder
younger brother,'yingerer bruder
brother,bruder
mother's brother,(der) mames bruder
father's brother,(dem) tatns bruder
