father,fadar
son,sunus
daughter,dauhtar
grandmother,awo
grandson,barne barna
granddaughter,barne barna
son-in-law (of a man),megs
son-in-law (of a woman),megs
mother-in-law (of a man),swaihro
mother-in-law (of a woman),swaihro
sister,swistar
father-in-law (of a man),swaihra
father-in-law (of a woman),swaihra
