father,pater
grandmother,avia
grandfather,avus
granddaughter,neptis
son-in-law (of a man),gener
son-in-law (of a woman),gener
younger sister,soror minor
mother-in-law (of a man),socrus
mother-in-law (of a woman),socrus
niece,neptis
sister,soror
daughter-in-law (of a woman),nurus
daughter-in-law (of a man),nurus
father-in-law (of a man),socer
father-in-law (of a woman),socer
father's sister,patris soror
