mother,u-san
father,u-yun
son,un-mu
daughter,u-yensi
grandfather,amoko
grandson,u-pa
granddaughter,u-pa
son-in-law (of a man),u-payun
son-in-law (of a woman),u-payun
father's brother,papai
nephew,poito
older brother,u-rui
younger brother,u-yakon
brother,uwi
father-in-law (of a man),u-yawo
father-in-law (of a woman),u-yawo
mother's sister,mamai
mother's brother,inton
father's brother,papai
