mother,mare
father,pare
son,fill
daughter,filla
grandfather,avi
stepmother,madrastra
son-in-law (of a man),gendre d'un home
son-in-law (of a woman),gendre d'una dona
older sister,germana gran
younger sister,germana petita
nephew,nebot
stepson,fillastre
stepdaughter,fillastra
mother-in-law (of a man),sogra d'un home
mother-in-law (of a woman),sogra d'una dona
niece,neboda
sister,germana
daughter-in-law (of a woman),nora d'una dona
daughter-in-law (of a man),nora d'un home
father-in-law (of a man),sogre d'un home
father-in-law (of a woman),sogre d'una dona
mother's sister,germana de la mare
father's sister,germana del pare
