mother,muoter
father,vater
son,sun
daughter,tohter
grandmother,eltermuoter
grandfather,eltervater
grandson,neve
granddaughter,niftel
stepmother,stiefmuoter
son-in-law (of a man),eidem (eines mannes)
older sister,eltere swester
father's brother,vetere
nephew,swestersun
stepson,stiefsun
stepdaughter,stieftohter
mother-in-law (of a man),swiger (eines mannes)
older brother,elterer bruoder
niece,swestertohter
sister,swester
brother,bruoder
daughter-in-law (of a man),snuor (eines mannes)
father-in-law (of a man),sweher (eines mannes)
mother's sister,muome
father's sister,base
father's brother,vetere
