mother,mother
father,father
son,son
daughter,daughter
grandmother,grandmother
grandfather,grandfather
grandson,grandson
granddaughter,granddaughter
stepmother,stepmother
stepbrother,stepbrother
son-in-law,-in-lawson
older sister,older sister
younger sister,younger sister
nephew,nephew
stepson,stepson
stepdaughter,stepdaughter
mother-in-law,-in-lawmother
older brother,older brother
younger brother,younger brother
niece,niece
sister,sister
brother,brother
daughter-in-law,-in-lawdaughter
father-in-law,-in-lawfather
mother's sister,mother's sister
mother's brother,mother's brother
father's sister,father's sister
father's brother,father's brother
stepfather,stepfather
