mother,madre
father,padre
son,figlio
daughter,figlia
grandmother,nonna
grandfather,nonno
grandson,nipotino
granddaughter,nipotina
stepmother,matrigna
son-in-law,genero
older sister,sorella maggiore
younger sister,sorella minore
father's brother,fratello del padre
nephew,nipote
stepson,figliastro
stepdaughter,figliastra
mother-in-law,suocera
older brother,fratello maggiore
younger brother,fratello minore
niece,nipote
sister,sorella
brother,fratello
daughter-in-law,nuora
father-in-law,suocero
mother's sister,sorella della madre
mother's brother,fratello della madre
father's sister,sorella del padre
father's brother,fratello del padre
