Number,Reading,Meaning,phonetic
0,z¨¦ro,0,Z ¨¦ZH OW 
1,un,1,AO N 
2,deux,2,D OW 
3,trois,3,T ZH W AA 
4,quatre,4,K AA T ZH 
5,cinq,5,S EH N K 
6,six,6,S IY 
7,sept,7,S AH P T 
8,huit,8,HH UW IY T 
9,neuf,9,N OW F 
10,dix,10,D IY 
11,onze,11,AO N Z 
12,douze,12,D UW Z 
13,treize,13,T ZH AH IY Z 
14,quatorze,14,K AA T OW ZH Z 
15,quinze,15,K EH N Z 
16,seize,16,S AH IY Z 
17,dix-sept,10 + 7,D IY  S AH P T 
18,dix-huit,10 + 8,D IY  HH UW IY T 
19,dix-neuf,10 + 9,D IY  N OW F 
20,vingt,20,V EH N G T 
21,vingt-et-un,20 and 1,V EH N G T  AH T  AO N 
22,vingt-deux,20 + 2,V EH N G T  D OW 
23,vingt-trois,20 + 3,V EH N G T  T ZH W AA 
24,vingt-quatre,20 + 4,V EH N G T  K AA T ZH 
25,vingt-cinq,20 + 5,V EH N G T  S EH N K 
26,vingt-six,20 + 6,V EH N G T  S IY 
27,vingt-sept,20 + 7,V EH N G T  S AH P T 
28,vingt-huit,20 + 8,V EH N G T  HH UW IY T 
29,vingt-neuf,20 + 9,V EH N G T  N OW F 
30,trente,30,T ZH AA N T 
31,trente-et-un,30 and 1,T ZH AA N T  AH T  AO N 
32,trente-deux,30 + 2,T ZH AA N T  D OW 
33,trente-trois,30 + 3,T ZH AA N T  T ZH W AA 
34,trente-quatre,30 + 4,T ZH AA N T  K AA T ZH 
35,trente-cinq,30 + 5,T ZH AA N T  S EH N K 
36,trente-six,30 + 6,T ZH AA N T  S IY 
37,trente-sept,30 + 7,T ZH AA N T  S AH P T 
38,trente-huit,30 + 8,T ZH AA N T  HH UW IY T 
39,trente-neuf,30 + 9,T ZH AA N T  N OW F 
40,quarante,40,K AA ZH AA N T 
41,quarante-et-un,40 and 1,K AA ZH AA N T  AH T  AO N 
42,quarante-deux,40 + 2,K AA ZH AA N T  D OW 
43,quarante-trois,40 + 3,K AA ZH AA N T  T ZH W AA 
44,quarante-quatre,40 + 4,K AA ZH AA N T  K AA T ZH 
45,quarante-cinq,40 + 5,K AA ZH AA N T  S EH N K 
46,quarante-six,40 + 6,K AA ZH AA N T  S IY 
47,quarante-sept,40 + 7,K AA ZH AA N T  S AH P T 
48,quarante-huit,40 + 8,K AA ZH AA N T  HH UW IY T 
49,quarante-neuf,40 + 9,K AA ZH AA N T  N OW F 
50,cinquante,50,S EH N K AA N T 
