Number,Reading
1,eins
2,zwei
3,drei
4,vier
5,funf
6,sechs
7,sieben
8,acht
9,neun
10,zehn
11,elf
12,zwolf
13,drei-zehn
14,vier-zehn
15,funf-zehn
16,sech-zehn
17,sieb-zehn
18,acht-zehn
19,neun-zehn
20,zwanzig
21,einund-zwanzig
22,zweiund-zwanzig
23,dreiund-zwanzig
24,vierund-zwanzig
25,funfund-zwanzig
26,sechsund-zwanzig
27,siebenund-zwanzig
28,achtund-zwanzig
29,neunund-zwanzig
30,dreisig
31,einund-dreisig
32,zweiund-dreisig
33,dreiund-dreisig
34,vierund-dreisig
35,funfund-dreisig
36,sechsund-dreisig
37,siebenund-dreisig
38,achtund-dreisig
39,neunund-dreisig
40,vierzig
41,einund-vierzig
42,zweiund-vierzig
43,dreiund-vierzig
44,vierund-vierzig
45,funfund-vierzig
46,sechsund-vierzig
47,siebenund-vierzig
48,achtund-vierzig
49,neunund-vierzig
50,funfzig
51,einund-funfzig
52,zweiund-funfzig
53,dreiund-funfzig
54,vierund-funfzig
55,funfund-funfzig
56,sechsund-funfzig
57,siebenund-funfzig
58,achtund-funfzig
59,neunund-funfzig
60,sechzig
61,einund-sechzig
62,zweiund-sechzig
63,dreiund-sechzig
64,vierund-sechzig
65,funfund-sechzig
66,sechsund-sechzig
67,siebenund-sechzig
68,achtund-sechzig
69,neunund-sechzig
70,siebzig
71,einund-siebzig
72,zweiund-siebzig
73,dreiund-siebzig
74,vierund-siebzig
75,funfund-siebzig
76,sechsund-siebzig
77,siebenund-siebzig
78,achtund-siebzig
79,neunund-siebzig
80,achtzig
81,einund-achtzig
82,zweiund-achtzig
83,dreiund-achtzig
84,vierund-achtzig
85,funfund-achtzig
86,sechsund-achtzig
87,siebenund-achtzig
88,achtund-achtzig
89,neunund-achtzig
90,neunzig
91,einund-neunzig
92,zweiund-neunzig
93,dreiund-neunzig
94,vierund-neunzig
95,funfund-neunzig
96,sechsund-neunzig
97,siebenund-neunzig
98,achtund-neunzig
99,neunund-neunzig
100,hundert
