Number,Reading,Meaning
0,zero,0
1,one,1
2,two,2
3,three,3
4,four,4
5,five,5
6,six,6
7,seven,7
8,eight,8
9,nine,9
10,ten,10
11,eleven,11
12,twelve,12
13,thir-teen,3* + 10*
14,four-teen,4 + 10*
15,fif-teen,5* + 10*
16,six-teen,6 + 10*
17,seven-teen,7 + 10*
18,eigh-teen,8 + 10*
19,nine-teen,9 + 10*
20,twenty,2* ?? 10?€?
21,twenty-one,2* ?? 10?€? + 1
22,twenty-two,2* ?? 10?€? + 2
23,twenty-three,2* ?? 10?€? + 3
24,twenty-four,2* ?? 10?€? + 4
25,twenty-five,2* ?? 10?€? + 5
26,twenty-six,2* ?? 10?€? + 6
27,twenty-seven,2* ?? 10?€? + 7
28,twenty-eight,2* ?? 10?€? + 8
29,twenty-nine,2* ?? 10?€? + 9
30,thirty,3* ?? 10?€?
31,thirty-one,3* ?? 10?€? + 1
32,thirty-two,3* ?? 10?€? + 2
33,thirty-three,3* ?? 10?€? + 3
34,thirty-four,3* ?? 10?€? + 4
35,thirty-five,3* ?? 10?€? + 5
36,thirty-six,3* ?? 10?€? + 6
37,thirty-seven,3* ?? 10?€? + 7
38,thirty-eight,3* ?? 10?€? + 8
39,thirty-nine,3* ?? 10?€? + 9
40,fourty,4* ?? 10?€?
41,fourty-one,4* ?? 10?€? + 1
42,fourty-two,4* ?? 10?€? + 2
43,fourty-three,4* ?? 10?€? + 3
44,fourty-four,4* ?? 10?€? + 4
45,fourty-five,4* ?? 10?€? + 5
46,fourty-six,4* ?? 10?€? + 6
47,fourty-seven,4* ?? 10?€? + 7
48,fourty-eight,4* ?? 10?€? + 8
49,fourty-nine,4* ?? 10?€? + 9
50,fifty,5* ?? 10?€?
51,fifty-one,5* ?? 10?€? + 1
52,fifty-two,5* ?? 10?€? + 2
53,fifty-three,5* ?? 10?€? + 3
54,fifty-four,5* ?? 10?€? + 4
55,fifty-five,5* ?? 10?€? + 5
56,fifty-six,5* ?? 10?€? + 6
57,fifty-seven,5* ?? 10?€? + 7
58,fifty-eight,5* ?? 10?€? + 8
59,fifty-nine,5* ?? 10?€? + 9
60,sixty,6 ?? 10?€?
61,sixty-one,6 ?? 10?€? + 1
62,sixty-two,6 ?? 10?€? + 2
63,sixty-three,6 ?? 10?€? + 3
64,sixty-four,6 ?? 10?€? + 4
65,sixty-five,6 ?? 10?€? + 5
66,sixty-six,6 ?? 10?€? + 6
67,sixty-seven,6 ?? 10?€? + 7
68,sixty-eight,6 ?? 10?€? + 8
69,sixty-nine,6 ?? 10?€? + 9
70,seventy,7 ?? 10?€?
71,seventy-one,7 ?? 10?€? + 1
72,seventy-two,7 ?? 10?€? + 2
73,seventy-three,7 ?? 10?€? + 3
74,seventy-four,7 ?? 10?€? + 4
75,seventy-five,7 ?? 10?€? + 5
76,seventy-six,7 ?? 10?€? + 6
77,seventy-seven,7 ?? 10?€? + 7
78,seventy-eight,7 ?? 10?€? + 8
79,seventy-nine,7 ?? 10?€? + 9
80,eighty,8 ?? 10?€?
81,eighty-one,8 ?? 10?€? + 1
82,eighty-two,8 ?? 10?€? + 2
83,eighty-three,8 ?? 10?€? + 3
84,eighty-four,8 ?? 10?€? + 4
85,eighty-five,8 ?? 10?€? + 5
86,eighty-six,8 ?? 10?€? + 6
87,eighty-seven,8 ?? 10?€? + 7
88,eighty-eight,8 ?? 10?€? + 8
89,eighty-nine,8 ?? 10?€? + 9
90,ninety,9 ?? 10?€?
91,ninety-one,9 ?? 10?€? + 1
92,ninety-two,9 ?? 10?€? + 2
93,ninety-three,9 ?? 10?€? + 3
94,ninety-four,9 ?? 10?€? + 4
95,ninety-five,9 ?? 10?€? + 5
96,ninety-six,9 ?? 10?€? + 6
97,ninety-seven,9 ?? 10?€? + 7
98,ninety-eight,9 ?? 10?€? + 8
99,ninety-nine,9 ?? 10?€? + 9
100,one hundred,1 ?? 100
