language_family,Subfamily,Language name,base_atom_order,rig_b_a_prob
1,Northeast 1,Kubachi,1,0.6320760842561651
1,Northeast 1,Kubachi,1,0.6570306897376708
1,Northeast 1,Kubachi,1,0.5978388185240718
1,Northeast 1,Kubachi,1,0.5887707144521207
1,Northeast 1,Kubachi,1,0.5970684715384057
1,Northeast 1,Kubachi,1,0.5348762187638342
1,Northeast 1,Kubachi,1,0.508191297304782
1,Northeast 1,Kubachi,1,0.5354898323998667
1,Northeast 1,Kubachi,1,0.6438352442397728
1,Northeast 1,Kubachi,1,0.6614724123455965
1,Northeast 1,Kubachi,1,0.619293883023428
1,Northeast 1,Kubachi,1,0.5827930228718752
1,Northeast 1,Kubachi,1,0.6353894571505159
1,Northeast 1,Kubachi,1,0.5642326362057082
1,Northeast 1,Kubachi,1,0.5341673671186882
1,Northeast 1,Kubachi,1,0.5567750958596742
2,Samoyedic,Nganasan,1,0.6182807906289265
2,Samoyedic,Nganasan,1,0.635376406873617
2,Samoyedic,Nganasan,1,0.5415319698490739
2,Samoyedic,Nganasan,1,0.4935892696612557
2,Samoyedic,Nganasan,1,0.4866332052593956
2,Samoyedic,Nganasan,1,0.450208176458309
2,Samoyedic,Nganasan,1,0.4253784383119338
2,Samoyedic,Nganasan,1,0.4345122752599003
2,Samoyedic,Nganasan,1,0.6320760842561651
2,Samoyedic,Nganasan,1,0.6570306897376708
2,Samoyedic,Nganasan,1,0.5978388185240718
2,Samoyedic,Nganasan,1,0.5887707144521207
2,Samoyedic,Nganasan,1,0.5970684715384057
2,Samoyedic,Nganasan,1,0.5348762187638342
2,Samoyedic,Nganasan,1,0.508191297304782
2,Samoyedic,Nganasan,1,0.5354898323998667
2,Samoyedic,Nganasan,1,0.6438352442397728
2,Samoyedic,Nganasan,1,0.6614724123455965
2,Samoyedic,Nganasan,1,0.619293883023428
2,Samoyedic,Nganasan,1,0.5827930228718752
2,Samoyedic,Nganasan,1,0.6353894571505159
2,Samoyedic,Nganasan,1,0.5642326362057082
2,Samoyedic,Nganasan,1,0.5341673671186882
2,Samoyedic,Nganasan,1,0.5567750958596742
2,Mari,Western Mari,1,0.6182807906289265
2,Mari,Western Mari,1,0.635376406873617
2,Mari,Western Mari,1,0.5415319698490739
2,Mari,Western Mari,1,0.4935892696612557
2,Mari,Western Mari,1,0.4866332052593956
2,Mari,Western Mari,1,0.450208176458309
2,Mari,Western Mari,1,0.4253784383119338
2,Mari,Western Mari,1,0.4345122752599003
2,Mari,Western Mari,1,0.6320760842561651
2,Mari,Western Mari,1,0.6570306897376708
2,Mari,Western Mari,1,0.5978388185240718
2,Mari,Western Mari,1,0.5887707144521207
2,Mari,Western Mari,1,0.5970684715384057
2,Mari,Western Mari,1,0.5348762187638342
2,Mari,Western Mari,1,0.508191297304782
2,Mari,Western Mari,1,0.5354898323998667
2,Mari,Western Mari,1,0.6438352442397728
2,Mari,Western Mari,1,0.6614724123455965
2,Mari,Western Mari,1,0.619293883023428
2,Mari,Western Mari,1,0.5827930228718752
2,Mari,Western Mari,1,0.6353894571505159
2,Mari,Western Mari,1,0.5642326362057082
2,Mari,Western Mari,1,0.5341673671186882
2,Mari,Western Mari,1,0.5567750958596742
3,Tungusic,Udihe,1,0.6182807906289265
3,Tungusic,Udihe,1,0.635376406873617
3,Tungusic,Udihe,1,0.5415319698490739
3,Tungusic,Udihe,1,0.4935892696612557
3,Tungusic,Udihe,1,0.4866332052593956
3,Tungusic,Udihe,1,0.450208176458309
3,Tungusic,Udihe,1,0.4253784383119338
3,Tungusic,Udihe,1,0.4345122752599003
3,Tungusic,Udihe,1,0.6320760842561651
3,Tungusic,Udihe,1,0.6570306897376708
3,Tungusic,Udihe,1,0.5978388185240718
3,Tungusic,Udihe,1,0.5887707144521207
3,Tungusic,Udihe,1,0.5970684715384057
3,Tungusic,Udihe,1,0.5348762187638342
3,Tungusic,Udihe,1,0.508191297304782
3,Tungusic,Udihe,1,0.5354898323998667
3,Tungusic,Udihe,1,0.6438352442397728
3,Tungusic,Udihe,1,0.6614724123455965
