madre,0.000134589495803936
padre,0.0002329395060905637
hijo,0.00014844055443888598
hija,5.6622001308081086e-05
abuela,7.108575799960797e-06
abuelo,1.1428125653874114e-05
nieto,1.3504097139347882e-05
nieta,2.5433407936316366e-06
madrastra,1.0487250905658978e-06
yerno,3.667138261602401e-06
hermana mayor,8.001898757888978e-07
hermana menor,3.7985660847089907e-07
hermano del padre,9.467303538989751e-08
sobrino,1.1174987268672356e-05
entenado,1.1963852103725165e-07
entenada,5.341500091531128e-08
suegra,1.9550634148724043e-06
hermano mayor,2.0843580328894898e-06
hermano menor,9.390555771751499e-07
sobrina,3.936355578322788e-06
hermana,2.9496011982539967e-05
hermano,7.31434386313021e-05
nuera,1.2310993753352763e-06
suegro,2.8779146357156165e-06
hermana de la madre,5.7233073674688484e-08
hermano de la madre,1.0611175636425031e-07
hermana del padre,7.401243243716967e-08
hermano del padre,9.467303538989751e-08
