older brother,0.03111653447223917
sister,0.04758999389871873
granddaughter,0.0024405125076266015
daughter,0.07992678462477121
grandson,0.0036607687614399025
brother,0.06223306894447834
older sister,0.023794996949359364
grandmother,0.025625381330079317
father,0.2672361195851129
younger sister,0.023794996949359364
son,0.08907870652837095
younger brother,0.03111653447223917
mother's brother,0.008541793776693106
father's brother,0.008541793776693106
father's sister,0.006101281269066504
mother's sister,0.006101281269066504
mother,0.26357535082367295
grandfather,0.019524100061012812
