mutter,9.177567734947108e-05
vater,8.626189081267164e-05
sohn,6.0784602488118754e-05
tochter,2.786466889293003e-05
enkel,5.16773121786346e-06
enkelin,7.400787958370559e-07
stiefmutter,8.102082114679172e-07
schwiegersohn,2.2985806094603897e-06
kleine schwester,2.27725062871e-07
oheim,1.405854299349585e-06
neffe,1.863142751576994e-06
stiefsohn,2.6119393840199714e-07
stieftochter,1.82862550550751e-07
schwiegermutter,1.0163492003265497e-06
kleiner bruder,1.22107694242e-07
nichte,3.2415500293473224e-06
schwester,1.919547007292705e-05
bruder,3.152339792900637e-05
schwiegertochter,6.612438454844831e-07
schwiegervater,1.4185352244994862e-06
oheim,1.405854299349585e-06
tante,8.662447608997869e-06
Großvater,4.48835607589e-06
Großmutter,3.85896923661e-06
