mère,0.000120534021866
père,0.000165123443024
grand-mère,2.97937603118e-06
grand-père,5.90606757367e-06
frère,5.43859374837e-05
soeur,2.6173068753365677e-06
fils,0.00014232189180878174
fille,8.31588091396151e-05
petit-fils,3.7996081833107105e-06
petite-fille,1.0380407699589008e-06
gendre,4.7448714417924384e-06
soeur,2.386094728875261e-08
neveu,9.418718310279806e-06
beau-fils,3.0386359370440523e-07
belle-fille,7.007992706025676e-07
belle-fille,0.0
frère cadet,7.4294301584e-07
grande soeur,2.28089886721e-08
grand frère,4.41935835572e-07
