lang,family,subfamily,value,logit_uid,logit_rig
Afrikaans,0,0,1,0.08571428571428572,11.666666666666663
Anglo-Saxon,0,0,1,0.08571428571428572,11.666666666666663
Bashkir,1,1,1,0.08571428571428572,11.666666666666663
Basque,2,2,1,0.08571428571428572,11.666666666666663
Bokmal,3,3,1,0.08571428571428572,11.666666666666663
Breton,0,4,"b-k for grandson/daughter, k-b for grandmother",0.08571428571428572,11.666666666666663
Breton,0,4,0,0.08571428571428572,11.666666666666663
Danish,0,0,1,0.08571428571428572,11.666666666666663
Dutch,0,0,1,0.08571428571428572,11.666666666666663
English,0,0,1,0.08571428571428572,11.666666666666663
Estonian,4,5,1,0.08571428571428572,11.666666666666663
Ewe,5,6,1,0.08571428571428572,11.666666666666663
Faroese,0,0,1,0.08571428571428572,11.666666666666663
French,0,7,1,0.08571428571428572,11.666666666666663
German,0,0,1,0.08571428571428572,11.666666666666663
Hungarian,4,8,1,0.08571428571428572,11.666666666666663
Interlingua,3,9,1,0.08571428571428572,11.666666666666663
Irish,0,4,1,0.08571428571428572,11.666666666666663
Jamaican Creole,6,10,1,0.08571428571428572,11.666666666666663
Japanese,7,11,1,0.08571428571428572,11.666666666666663
Kannada,8,12,1,0.08571428571428572,11.666666666666663
Kirghiz,9,13,1,0.08571428571428572,11.666666666666663
Latvian,0,14,1,0.08571428571428572,11.666666666666663
Low Saxon,0,0,1,0.08571428571428572,11.666666666666663
Lower Sorbian,0,14,1,0.08571428571428572,11.666666666666663
Luxembourgish,0,0,1,0.08571428571428572,11.666666666666663
Middle English,0,0,1,0.08571428571428572,11.666666666666663
Middle High German,0,0,1,0.08571428571428572,11.666666666666663
Nynorsk,3,15,1,0.08571428571428572,11.666666666666663
Old English,0,0,0,0.08571428571428572,11.666666666666663
Persian,0,16,1,0.08571428571428572,11.666666666666663
Quechua,10,17,1,0.08571428571428572,11.666666666666663
Romani,0,16,1,0.08571428571428572,11.666666666666663
Scots,0,0,1,0.08571428571428572,11.666666666666663
Serbo-Croatian,0,14,1,0.08571428571428572,11.666666666666663
Swiss High German,0,0,1,0.08571428571428572,11.666666666666663
Volapuk,3,18,1,0.08571428571428572,11.666666666666663
Voro,4,5,1,0.08571428571428572,11.666666666666663
Welsh,0,4,0,0.08571428571428572,11.666666666666663
Afrikaans,0,0,1,0.36111111111111116,2.7692307692307696
Aguaruna,11,-1,0,0.36111111111111116,2.7692307692307696
Basque,2,2,0,0.36111111111111116,2.7692307692307696
Basque,2,2,0,0.36111111111111116,2.7692307692307696
Belarusian,0,14,1,0.36111111111111116,2.7692307692307696
Bokmal,3,3,1,0.36111111111111116,2.7692307692307696
Bosnian,0,-1,1,0.36111111111111116,2.7692307692307696
Bulgarian,0,14,1,0.36111111111111116,2.7692307692307696
Catalan,0,7,0,0.36111111111111116,2.7692307692307696
Croatian,0,14,1,0.36111111111111116,2.7692307692307696
Danish,0,0,1,0.36111111111111116,2.7692307692307696
Dutch,0,0,1,0.36111111111111116,2.7692307692307696
English,0,0,1,0.36111111111111116,2.7692307692307696
Esperanto,3,19,1,0.36111111111111116,2.7692307692307696
Estonian,4,5,1,0.36111111111111116,2.7692307692307696
French,0,7,1,0.36111111111111116,2.7692307692307696
German,0,0,1,0.36111111111111116,2.7692307692307696
Hausa,12,20,0,0.36111111111111116,2.7692307692307696
Hebrew,12,21,1,0.36111111111111116,2.7692307692307696
Hindi,0,16,1,0.36111111111111116,2.7692307692307696
Icelandic,0,0,1,0.36111111111111116,2.7692307692307696
Italian,0,7,0,0.36111111111111116,2.7692307692307696
Latin,0,7,0,0.36111111111111116,2.7692307692307696
Latvian,0,14,1,0.36111111111111116,2.7692307692307696
Lithuanian,0,14,1,0.36111111111111116,2.7692307692307696
