lang,family,subfamily,value,logit_uid,logit_rig
Macedonian,0,14,1,0.36111111111111116,2.7692307692307696
Malayalam,8,12,1,0.36111111111111116,2.7692307692307696
Middle English,0,0,1,0.36111111111111116,2.7692307692307696
Middle High German,0,0,1,0.36111111111111116,2.7692307692307696
Norwegian,0,0,1,0.36111111111111116,2.7692307692307696
Odia,0,16,1,0.36111111111111116,2.7692307692307696
Old English,0,0,1,0.36111111111111116,2.7692307692307696
Persian,0,16,1,0.36111111111111116,2.7692307692307696
Polish,0,14,1,0.36111111111111116,2.7692307692307696
Scottish Gaelic,0,4,0,0.36111111111111116,2.7692307692307696
Serbian,0,14,1,0.36111111111111116,2.7692307692307696
Serbo-Croatian,0,14,1,0.36111111111111116,2.7692307692307696
Sindhi,0,16,0,0.36111111111111116,2.7692307692307696
Slovak,0,14,1,0.36111111111111116,2.7692307692307696
Slovenian,0,14,1,0.36111111111111116,2.7692307692307696
Spanish,0,7,0,0.36111111111111116,2.7692307692307696
Swahili,5,22,0,0.36111111111111116,2.7692307692307696
Swedish,0,0,1,0.36111111111111116,2.7692307692307696
Tajik,0,16,0,0.36111111111111116,2.7692307692307696
Tamil,8,12,1,0.36111111111111116,2.7692307692307696
Ukranian,0,14,1,0.36111111111111116,2.7692307692307696
Urdu,0,16,0,0.36111111111111116,2.7692307692307696
Welsh,0,4,1,0.36111111111111116,2.7692307692307696
Yiddish,0,0,1,0.36111111111111116,2.7692307692307696
Armenian (Western Variety),0,23,1,0.5384615384615384,1.8571428571428574
Basque,2,2,1,0.5384615384615384,1.8571428571428574
Catalan,0,7,0,0.5384615384615384,1.8571428571428574
Danish,0,0,1,0.5384615384615384,1.8571428571428574
Dutch,0,0,0,0.5384615384615384,1.8571428571428574
English,0,0,1,0.5384615384615384,1.8571428571428574
French,0,7,0,0.5384615384615384,1.8571428571428574
Icelandic,0,0,1,0.5384615384615384,1.8571428571428574
Ido,3,24,0,0.5384615384615384,1.8571428571428574
Italian,0,7,1,0.5384615384615384,1.8571428571428574
Japanese,7,11,1,0.5384615384615384,1.8571428571428574
Latin,0,7,1,0.5384615384615384,1.8571428571428574
Macedonian,0,14,0,0.5384615384615384,1.8571428571428574
Malayalam,8,12,1,0.5384615384615384,1.8571428571428574
Old Irish,0,4,0,0.5384615384615384,1.8571428571428574
Serbian,0,14,1,0.5384615384615384,1.8571428571428574
Spanish,0,7,0,0.5384615384615384,1.8571428571428574
Swedish,0,0,1,0.5384615384615384,1.8571428571428574
Volapuk,3,18,1,0.5384615384615384,1.8571428571428574
Yiddish,0,0,1,0.5384615384615384,1.8571428571428574
